province,average_population_thousand,population_density,area_km2,province_id
Hà Nội,8587.1,2555.8,3359.8,2.0
Vĩnh Phúc,1211.3,980.1,1236.0,31.0
Bắc Ninh,1517.4,1844.4,822.7,17.0
Quảng Ninh,1381.2,222.5,6207.9,18.0
Hải Dương,1956.9,1173.0,1668.3,21.0
Hải Phòng,2105.0,1379.0,1526.5,7.0
Hưng Yên,1301.0,1398.6,930.2,24.0
Thái Bình,1882.3,1187.9,1584.6,27.0
Hà Nam,885.9,1027.8,861.9,45.0
Nam Định,1887.1,1130.8,1668.8,35.0
Ninh Bình,1017.1,720.4,1411.8,41.0
Hà Giang,899.9,113.5,7927.5,61.0
Cao Bằng,547.9,81.8,6700.4,63.0
Bắc Kạn,326.5,67.2,4860.0,62.0
Tuyên Quang,812.2,138.4,5867.9,57.0
Lào Cai,779.9,122.5,6364.2,34.0
Yên Bái,855.5,124.1,6892.7,56.0
Thái Nguyên,1350.3,383.4,3522.0,33.0
Lạng Sơn,807.3,97.1,8310.2,60.0
Bắc Giang,1922.7,493.5,3895.9,28.0
Phú Thọ,1530.8,433.1,3534.6,42.0
Điện Biên,646.2,67.7,9539.9,58.0
Lai Châu,489.3,54.0,9068.7,59.0
Sơn La,1313.3,93.1,14109.8,54.0
Hoà Bình,880.5,191.8,4590.3,29.0
Thanh Hoá,3739.5,336.4,11114.7,19.0
Nghệ An,3442.0,208.8,16486.5,20.0
Hà Tĩnh,1323.7,220.8,5994.4,46.0
Quảng Bình,918.7,114.9,7998.8,50.0
Quảng Trị,654.2,139.2,4701.2,51.0
Thừa Thiên Huế,1166.5,235.8,4947.1,15.0
Đà Nẵng,1245.2,969.2,1284.7,3.0
Quảng Nam,1526.1,144.3,10574.9,9.0
Quảng Ngãi,1248.1,242.1,5155.2,36.0
Bình Định,1506.3,248.3,6066.4,25.0
Phú Yên,877.7,174.6,5026.0,44.0
Khánh Hoà,1260.6,242.4,5199.6,6.0
Ninh Thuận,601.2,179.2,3355.7,43.0
Bình Thuận,1258.8,158.5,7942.6,13.0
Kon Tum,591.3,61.1,9677.3,49.0
Gia Lai,1613.9,104.1,15510.1,22.0
Đắk Lắk,1931.5,147.8,13070.4,11.0
Đắk Nông,681.9,104.8,6509.3,38.0
Lâm Đồng,1345.0,137.5,9781.2,14.0
Bình Phước,1045.5,152.1,6873.6,23.0
Tây Ninh,1194.9,295.6,4041.7,32.0
Bình Dương,2823.4,1047.8,2694.6,4.0
Đồng Nai,3310.9,564.6,5863.6,5.0
Bà Rịa - Vũng Tàu,1187.5,599.0,1982.6,10.0
TP.Hồ Chí Minh,9456.7,4513.1,2095.4,1.0
Long An,1743.4,387.9,4494.8,8.0
Tiền Giang,1790.7,700.5,2556.4,26.0
Bến Tre,1299.3,546.0,2379.7,37.0
Trà Vinh,1019.9,426.6,2390.8,52.0
Vĩnh Long,1029.6,674.8,1525.7,40.0
Đồng Tháp,1600.2,473.1,3382.3,47.0
An Giang,1906.3,539.0,3536.8,30.0
Kiên Giang,1755.3,276.3,6352.0,16.0
Cần Thơ,1258.9,874.0,1440.4,12.0
Hậu Giang,728.3,448.9,1622.2,53.0
Sóc Trăng,1198.8,363.5,3298.2,48.0
Bạc Liêu,925.2,346.8,2667.9,55.0
Cà Mau,1207.4,228.9,5274.5,39.0
